"CONFIRMEDCASECHANGE","DATE","DEATHCHANGE","PROBABLECASECHANGE","R0","R0CIHIGH","R0CILOW","TOTALCONFIRMEDCASES","TOTALDEATHS","TOTALPROBABLECASES"
"83","12-01-2021","0","9","1.07","1.19","0.96","29197","620","3915"
"90","12-02-2021","2","19","1.1","1.21","0.98","29287","622","3934"
"85","12-03-2021","2","19","1.15","1.27","1.04","29372","624","3953"
"52","12-04-2021","0","19","1.21","1.32","1.09","29424","624","3972"
"44","12-05-2021","1","0","1.24","1.36","1.12","29468","625","3972"
"71","12-06-2021","0","3","1.25","1.36","1.13","29539","625","3975"
"81","12-07-2021","0","13","1.25","1.36","1.14","29620","625","3988"
"66","12-08-2021","1","12","1.24","1.35","1.13","29686","626","4000"
"58","12-09-2021","0","13","1.19","1.29","1.08","29744","626","4013"
"69","12-10-2021","2","9","1.12","1.22","1.02","29813","628","4022"
"47","12-11-2021","0","12","1.06","1.16","0.97","29860","628","4034"
"45","12-12-2021","0","5","1.02","1.11","0.93","29905","628","4039"
"93","12-13-2021","3","5","1","1.09","0.9","29998","631","4044"
"95","12-14-2021","3","24","0.98","1.07","0.89","30093","634","4068"
"85","12-15-2021","0","26","0.98","1.07","0.89","30178","634","4094"
"108","12-16-2021","1","15","1.01","1.1","0.92","30286","635","4109"
"120","12-17-2021","0","12","1.06","1.16","0.97","30406","635","4121"
"93","12-18-2021","0","30","1.12","1.22","1.02","30499","635","4151"
"89","12-19-2021","0","13","1.18","1.28","1.08","30588","635","4164"
"142","12-20-2021","0","7","1.23","1.33","1.13","30730","635","4171"
"221","12-21-2021","0","17","1.3","1.4","1.2","30951","635","4188"
"233","12-22-2021","0","34","1.37","1.48","1.27","31184","635","4222"
"260","12-23-2021","1","35","1.45","1.55","1.35","31444","636","4257"
"190","12-24-2021","0","60","1.5","1.6","1.4","31634","636","4317"
"123","12-25-2021","0","26","1.51","1.6","1.42","31757","636","4343"
"227","12-26-2021","0","26","1.52","1.61","1.43","31984","636","4369"
"486","12-27-2021","0","0","1.57","1.65","1.48","32470","636","4369"
"602","12-28-2021","1","104","1.63","1.71","1.54","33072","637","4473"
"563","12-29-2021","1","119","1.68","1.75","1.59","33635","638","4592"
"516","12-30-2021","0","168","1.7","1.77","1.62","34151","638","4760"
"292","12-31-2021","4","110","1.69","1.76","1.61","34443","642","4870"
"243","01-01-2022","3","72","1.66","1.73","1.59","34686","645","4942"
"346","01-02-2022","1","37","1.62","1.68","1.56","35032","646","4979"
"633","01-03-2022","0","60","1.56","1.62","1.5","35665","646","5039"
"735","01-04-2022","4","123","1.49","1.54","1.43","36400","650","5162"
"609","01-05-2022","2","241","1.4","1.45","1.35","37009","652","5403"
"583","01-06-2022","1","158","1.33","1.37","1.29","37592","653","5561"
"469","01-07-2022","4","154","1.28","1.32","1.23","38061","657","5715"
"245","01-08-2022","3","105","1.24","1.27","1.19","38306","660","5820"
"264","01-09-2022","0","56","1.2","1.23","1.15","38570","660","5876"
"488","01-10-2022","1","113","1.15","1.18","1.11","39058","661","5989"
"471","01-11-2022","3","107","1.1","1.13","1.06","39529","664","6096"
"478","01-12-2022","0","189","1.05","1.08","1.02","40007","664","6285"
"444","01-13-2022","3","108","1.01","1.03","0.97","40451","667","6393"
"373","01-14-2022","1","90","0.96","0.99","0.93","40824","668","6483"
"211","01-15-2022","0","92","0.92","0.95","0.89","41035","668","6575"
"181","01-16-2022","0","90","0.89","0.92","0.86","41216","668","6665"
"333","01-17-2022","0","44","0.87","0.9","0.83","41549","668","6709"
"325","01-18-2022","5","31","0.85","0.88","0.82","41874","673","6740"
"298","01-19-2022","10","51","0.84","0.87","0.8","42172","683","6791"
"287","01-20-2022","2","120","0.82","0.86","0.79","42459","685","6911"
"239","01-21-2022","2","64","0.81","0.84","0.78","42698","687","6975"
"150","01-22-2022","1","53","0.8","0.83","0.76","42848","688","7028"
"98","01-23-2022","1","20","0.78","0.81","0.75","42946","689","7048"
"223","01-24-2022","5","15","0.77","0.8","0.73","43169","694","7063"
"201","01-25-2022","4","25","0.76","0.79","0.72","43370","698","7088"
"184","01-26-2022","0","65","0.75","0.79","0.71","43554","698","7153"
"181","01-27-2022","3","33","0.74","0.78","0.71","43735","701","7186"
"146","01-28-2022","1","38","0.74","0.78","0.7","43881","702","7224"
"85","01-29-2022","1","29","0.73","0.77","0.7","43966","703","7253"
"86","01-30-2022","0","12","0.73","0.77","0.69","44052","703","7265"
"109","01-31-2022","4","11","0.72","0.76","0.68","44161","707","7276"
"112","02-01-2022","3","22","0.72","0.76","0.68","44273","710","7298"
"30","02-02-2022","0","21","0.71","0.75","0.66","44303","710","7319"
"30","02-03-2022","0","22","0.68","0.73","0.64","44333","710","7341"
"67","02-04-2022","0","3","0.66","0.7","0.62","44400","710","7344"
"65","02-05-2022","0","5","0.64","0.68","0.59","44465","710","7349"
"54","02-06-2022","0","0","0.61","0.65","0.56","44519","710","7349"
"65","02-07-2022","5","2","0.58","0.63","0.54","44584","715","7351"
"67","02-08-2022","0","23","0.56","0.61","0.51","44651","715","7374"
"61","02-09-2022","1","7","0.56","0.61","0.51","44712","716","7381"
"59","02-10-2022","1","11","0.6","0.65","0.54","44771","717","7392"
"41","02-11-2022","1","9","0.64","0.7","0.58","44812","718","7401"
"32","02-12-2022","0","6","0.68","0.75","0.62","44844","718","7407"
"18","02-13-2022","1","5","0.71","0.78","0.64","44862","719","7412"
"40","02-14-2022","3","0","0.74","0.81","0.67","44902","722","7412"
"41","02-15-2022","3","10","0.77","0.85","0.7","44943","725","7422"
"28","02-16-2022","4","11","0.77","0.85","0.7","44971","729","7433"
"22","02-17-2022","3","8","0.74","0.82","0.66","44993","732","7441"
"26","02-18-2022","0","4","0.71","0.8","0.63","45019","732","7445"
"16","02-19-2022","1","5","0.69","0.77","0.6","45035","733","7450"
"17","02-20-2022","0","2","0.67","0.76","0.59","45052","733","7452"
"33","02-21-2022","0","0","0.67","0.76","0.58","45085","733","7452"
"21","02-22-2022","3","5","0.66","0.75","0.57","45106","736","7457"
"24","02-23-2022","0","3","0.66","0.76","0.57","45130","736","7460"
"13","02-24-2022","1","7","0.68","0.78","0.58","45143","737","7467"
"16","02-25-2022","0","2","0.69","0.8","0.59","45159","737","7469"
"9","02-26-2022","0","2","0.71","0.82","0.6","45168","737","7471"
"9","02-27-2022","0","0","0.72","0.83","0.6","45177","737","7471"
"12","02-28-2022","2","1","0.71","0.83","0.59","45189","739","7472"
"14","03-01-2022","0","0","0.71","0.84","0.59","45203","739","7472"
"9","03-02-2022","0","2","0.7","0.82","0.57","45212","739","7474"
"27","03-03-2022","1","1","0.7","0.83","0.57","45239","740","7475"
"17","03-04-2022","2","2","0.7","0.83","0.56","45256","742","7477"
"9","03-05-2022","0","1","0.69","0.83","0.55","45265","742","7478"
"21","03-06-2022","0","1","0.69","0.83","0.54","45286","742","7479"
"7","03-07-2022","0","1","","","","45293","742","7480"
"13","03-08-2022","2","3","","","","45306","744","7483"
"15","03-09-2022","1","6","","","","45321","745","7489"
"14","03-10-2022","0","3","","","","45335","745","7492"
"10","03-11-2022","0","2","","","","45345","745","7494"
"4","03-12-2022","0","2","","","","45349","745","7496"
"7","03-13-2022","0","3","","","","45356","745","7499"
"14","03-14-2022","0","0","","","","45370","745","7499"
"8","03-15-2022","1","5","","","","45378","746","7504"
"11","03-16-2022","0","3","","","","45389","746","7507"
"11","03-17-2022","0","0","","","","45400","746","7507"
"7","03-18-2022","0","1","","","","45407","746","7508"
"5","03-19-2022","0","1","","","","45412","746","7509"
"0","03-20-2022","0","0","","","","45412","746","7509"
